id,nameKey,type,damageType,element,target,spCost,cooldown,powerMultiplier,hitCount,poiseDamage,isBreaker,isAoe,commandType,comboBeats,healPower,shieldPower,spRestore,cleanseCount,animTrigger,statusId,statusChance,statusDuration,revivePercent,dispelCount
skill_basic_attack,skill.basic_attack.name,Physical,Physical,Neutral,SingleEnemy,0,0,1.0,1,3,false,false,SingleTap,1,0,0,0,0,attack,,,
skill_power_strike,skill.power_strike.name,Physical,Physical,Neutral,SingleEnemy,8,1,1.4,1,6,false,false,SingleTap,1,0,0,0,0,attack,,,
skill_elemental_strike,skill.elemental_strike.name,Magical,Magical,Neutral,SingleEnemy,12,2,1.6,1,8,true,false,Charge,1,0,0,0,0,cast,AtkDown,0.6,3
skill_flurry_combo,skill.flurry_combo.name,Physical,Physical,Neutral,SingleEnemy,10,2,0.5,4,10,false,false,Combo,4,0,0,0,0,attack,Bleed,0.4,2
skill_heal_light,skill.heal_light.name,Heal,Physical,Neutral,SingleAlly,10,1,0,1,0,false,false,Charge,1,1.2,0,0,0,cast,,,
skill_guard,skill.guard.name,Support,Physical,Neutral,Self,0,0,0,1,0,false,false,Guard,1,0,0.3,0,0,guard,,,
skill_cleave,skill.cleave.name,Physical,Physical,Neutral,AllEnemies,14,3,0.8,1,5,false,true,SingleTap,1,0,0,0,0,attack,,,
skill_cleanse,skill.cleanse.name,Support,Physical,Neutral,SingleAlly,8,2,0,1,0,false,false,SingleTap,1,0,0,0,1,cast,,,
skill_ultimate_nova,skill.ultimate_nova.name,Magical,Magical,Neutral,AllEnemies,0,0,2.0,1,15,true,true,Charge,1,0,0,0,0,cast,,,
skill_mana_well,skill.mana_well.name,Support,Physical,Neutral,SingleAlly,6,2,0,1,0,false,false,SingleTap,1,0,0,20,0,cast,,,
skill_wolf_howl,skill.wolf_howl.name,Support,Physical,Neutral,AllEnemies,0,3,0,1,4,false,true,SingleTap,1,0,0,0,0,cast,SpdDown,0.8,2
skill_wolf_pounce,skill.wolf_pounce.name,Physical,Physical,Neutral,SingleEnemy,0,2,1.8,1,10,true,false,SingleTap,1,0,0,0,0,attack,Bleed,0.5,3
skill_goblin_decree,skill.goblin_decree.name,Support,Physical,Neutral,Self,0,4,0,1,0,false,false,SingleTap,1,0,0,0,0,cast,AtkUp,1.0,3
skill_goblin_smash,skill.goblin_smash.name,Physical,Physical,Neutral,AllEnemies,0,2,1.0,1,8,false,true,SingleTap,1,0,0,0,0,attack,,,
skill_lich_drain,skill.lich_drain.name,Magical,Magical,Dark,SingleEnemy,0,2,1.5,1,6,false,false,Charge,1,0,0,0,0,cast,Curse,0.5,2
skill_lich_curse,skill.lich_curse.name,Support,Physical,Dark,AllEnemies,0,4,0,1,0,false,true,SingleTap,1,0,0,0,0,cast,Curse,0.7,3
skill_drake_flame_breath,skill.drake_flame_breath.name,Magical,Magical,Fire,AllEnemies,0,3,1.6,1,12,true,true,Charge,1,0,0,0,0,cast,Burn,0.6,3
skill_drake_wing_buffet,skill.drake_wing_buffet.name,Physical,Physical,Wind,AllEnemies,0,2,1.0,1,8,false,true,SingleTap,1,0,0,0,0,attack,,,
skill_poison_bite,skill.poison_bite.name,Physical,Physical,Neutral,SingleEnemy,0,1,1.0,1,4,false,false,SingleTap,1,0,0,0,0,attack,Poison,0.7,3
skill_toxic_spray,skill.toxic_spray.name,Physical,Physical,Water,AllEnemies,6,2,0.6,1,3,false,true,SingleTap,1,0,0,0,0,attack,Poison,0.5,3
skill_leech_drain,skill.leech_drain.name,Physical,Physical,Water,SingleEnemy,0,2,1.0,1,4,false,false,SingleTap,1,0,0,0,0,attack,DefDown,0.6,2
skill_bog_curse,skill.bog_curse.name,Support,Physical,Dark,SingleEnemy,0,3,0,1,0,false,false,SingleTap,1,0,0,0,0,cast,Curse,0.8,3
skill_troll_regen,skill.troll_regen.name,Support,Physical,Neutral,Self,0,4,0,1,0,false,false,SingleTap,1,0,0,0,0,cast,Regen,1.0,3
skill_spore_cloud,skill.spore_cloud.name,Magical,Magical,Dark,AllEnemies,0,3,0.7,1,5,false,true,Charge,1,0,0,0,0,cast,Poison,0.6,3
skill_silence_curse,skill.silence_curse.name,Support,Physical,Dark,SingleEnemy,0,3,0,1,0,false,false,SingleTap,1,0,0,0,0,cast,Silence,0.7,2,0,0
skill_revive_ally,skill.revive_ally.name,Heal,Physical,Neutral,DeadAlly,15,5,0,1,0,false,false,Charge,1,0,0,0,0,cast,,,,0.3,0
skill_dispel_strike,skill.dispel_strike.name,Physical,Physical,Dark,SingleEnemy,0,3,0.8,1,4,false,false,SingleTap,1,0,0,0,0,attack,,,,0,1
skill_bone_volley,skill.bone_volley.name,Physical,Physical,Neutral,AllEnemies,8,2,0.7,1,4,false,true,SingleTap,1,0,0,0,0,attack,,,,0,0
skill_fire_slash,skill.fire_slash.name,Physical,Physical,Fire,SingleEnemy,0,1,1.1,1,5,false,false,SingleTap,1,0,0,0,0,attack,Burn,0.6,2,0,0
skill_ash_blind,skill.ash_blind.name,Support,Physical,Neutral,SingleEnemy,0,3,0,1,0,false,false,SingleTap,1,0,0,0,0,cast,Blind,0.7,2,0,0
skill_lava_burst,skill.lava_burst.name,Magical,Magical,Fire,AllEnemies,10,3,1.2,1,7,true,true,Charge,1,0,0,0,0,cast,Burn,0.6,3,0,0
skill_void_rend,skill.void_rend.name,Physical,Physical,Dark,SingleEnemy,0,2,1.6,1,9,true,false,SingleTap,1,0,0,0,0,attack,DefDown,0.6,2,0,0
skill_abyss_wave,skill.abyss_wave.name,Magical,Magical,Dark,AllEnemies,10,3,1.0,1,6,false,true,Charge,1,0,0,0,0,cast,Curse,0.6,3,0,0
skill_star_drain,skill.star_drain.name,Magical,Magical,Dark,SingleEnemy,0,2,1.3,1,5,false,false,Charge,1,0,0,0,0,cast,AtkDown,0.6,2,0,0
skill_voidking_judgment,skill.voidking_judgment.name,Magical,Magical,Dark,AllEnemies,0,3,2.2,1,18,true,true,Charge,1,0,0,0,0,cast,Curse,0.5,2,0,0
skill_voidking_corrupt,skill.voidking_corrupt.name,Support,Physical,Dark,AllEnemies,0,4,0,1,0,false,true,SingleTap,1,0,0,0,0,cast,AtkDown,0.8,3,0,0
skill_flame_guard,skill.flame_guard.name,Support,Physical,Fire,Self,10,3,0,1,0,false,false,Charge,1,0,0.35,0,0,cast,DefUp,1.0,3,0,0
skill_inferno_bulwark,skill.inferno_bulwark.name,Magical,Physical,Fire,AllEnemies,0,0,2.2,1,14,true,true,Charge,1,0,0,0,0,cast,Burn,0.8,3,0,0
skill_frost_nova,skill.frost_nova.name,Magical,Magical,Water,AllEnemies,14,2,1.2,1,9,true,true,Charge,1,0,0,0,0,cast,SpdDown,0.6,2,0,0
skill_gale_step,skill.gale_step.name,Support,Physical,Wind,Self,8,3,0,1,0,false,false,SingleTap,1,0,0,0,0,cast,SpdUp,1.0,2,0,0
skill_hamstring,skill.hamstring.name,Physical,Physical,Wind,AllEnemies,12,2,1.0,1,6,false,true,SingleTap,1,0,0,0,0,attack,SpdDown,0.7,2,0,0
